,lat,long
0,-79.2298,-6.3364
1,-44.6679,13.453
2,120.3265,20.8758
3,-178.1301,-32.1722
4,-157.3484,66.2468
5,-149.6532,61.6899
6,126.6579,2.0983
7,-157.2161,66.309
8,-157.3037,66.2927
9,-157.3818,66.2305
10,-157.4072,66.2194
11,-157.1878,66.3447
12,-177.7028,-32.1609
13,-157.1853,66.3088
14,40.1442,17.921
15,-97.9607,37.3332
16,-177.784,-32.2567
17,40.2353,17.913
18,143.8459,23.1285
19,141.7579,38.7067
20,-149.8542,56.2756
21,142.9167,-4.1175
22,141.8924,38.8394
23,-96.1188,34.6648
24,-157.6124,66.9819
25,-150.068,61.3519
26,164.4347,55.2272
27,-148.4483,56.3164
28,-177.926,-31.8884
29,-177.8792,-32.0264
30,-66.4111,18.4308
31,126.9868,3.5389
32,-85.5154,16.3309
33,-150.1051,61.3792
34,-93.662,14.6063
35,176.4621,51.2924
36,126.922,2.2555
37,-146.3241,61.569
38,-66.8686,19.0578
39,-97.5054,-36.2365
40,-152.2379,59.642
41,-68.432,18.612
42,-65.3903,19.4703
43,-63.9275,19.7788
44,171.5782,-22.7374
45,-1.6674,-55.4437
46,-65.5531,17.8736
47,-152.816,59.8261
48,-74.7877,10.976
49,-68.8918,18.4148
50,-148.7148,62.049
51,-67.4295,19.104
52,126.9475,8.5337
53,-61.4227,10.7219
54,-164.1849,53.2529
55,-68.9413,19.0711
56,-75.4449,-9.8302
57,-144.8668,69.5867
58,-92.864,14.3421
59,-83.7356667,36.2955
60,-68.351,18.5786
61,129.6475,-2.9051
62,-68.2511,18.0446
63,-177.8836,-20.6318
64,-92.8448,14.4288
65,-66.469,19.0401
66,-92.6628,14.4462
67,16.1402,51.6295
68,-71.7799,-29.8676
69,-93.0135,14.3418
70,70.3039,35.9883
71,-157.1461,66.2826
72,132.3807,-5.8701
73,-149.2458,56.2419
74,-92.8947,14.3637
75,175.2006,52.0476
76,-92.8923,14.3854
77,-114.9829,39.2192
78,-153.5911,59.984
79,-125.6526667,40.4193333
80,139.3466,29.2537
81,-111.9436667,40.4696667
82,-170.2439,51.5734
83,-65.3945,18.7721
84,94.1742,5.097
85,-67.9628,18.3195
86,-65.56,19.5501
87,-157.3449,66.3514
88,-152.801,56.9717
89,-144.3492,69.3509
90,-12.0923,71.7325
91,-111.3514,45.8675
92,-115.823,31.9048333
93,121.576,-2.4517
94,86.801,42.5477
95,-157.2198,66.3128
96,-97.2902,29.1637
97,-149.9963,61.3153
98,121.4447,-2.4419
99,-108.911,38.2803333
100,-110.0821667,44.6931667
101,145.9909,-5.0488
102,-98.4085,15.8677
103,146.0238,-5.1009
104,108.6615,53.5647
105,-113.9089,52.3217
106,146.2135,-5.1779
107,-76.5554,-13.5377
108,146.188,-5.2349
109,-103.2549,31.1138
110,-80.7041667,37.8381667
111,-160.9707,54.7498
112,-27.4671,-56.0893
113,-71.2704,-33.4474
114,-64.0408,18.6775
115,-155.6123333,19.4286667
116,-64.5966,19.4108
117,-65.7343,19.595
118,-64.996,19.0666
119,-172.792,-18.0451
120,-64.8516,18.8965
121,-144.2817,63.1608
122,122.9604,-8.0968
123,-97.5495,38.871
124,-150.8689,65.806
125,-142.7279,66.4313
126,-64.789,18.9786
127,-68.0476,18.5031
128,-154.8805,19.4276667
129,122.9425,-7.979
130,-95.0564,16.466
131,126.9535,5.5446
132,-113.8493333,37.4936667
133,-66.1178,18.1645
134,-125.2955,40.4106667
135,-101.2742,18.5914
136,-122.6801667,38.8951667
137,-148.7627,56.3095
138,-157.5838,66.3563
139,120.1585,-1.4962
140,-178.006,-30.5749
141,-148.56,56.2093
142,-115.672,39.0823
143,-148.5693,56.1041
144,-67.1313,18.7585
145,-115.6696,39.1024
146,-74.3996,-8.6266
147,-68.506,19.4828
148,67.4096,28.8336
149,-63.162,18.046
150,-83.8321667,38.9033333
151,-155.7891667,19.9501667
152,-149.2704,61.2482
153,45.5036,-12.7994
154,-155.198,19.3348333
155,-86.6751,11.3216
156,-174.3753,52.6569
157,97.2188,1.1633
158,-156.3043,58.2668
159,-67.6281,18.4256
160,16.104,-21.9811
